Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Bayesian Ridge,34,Dur_UD575,0.025415019,0.397978876,0.490230664,0.069078371,0.64882528,0.376349945,0.805496915,7.059541164,87.16216216,0.025999784
Lasso Regression,34,Dur_UD575,0.345232453,0.147411073,0.521078848,0.140739655,0.445126341,0.283512878,0.667177893,7.518824819,87.16216216,0.02400136
Elastic Net,34,Dur_UD575,0.356534923,0.125874746,0.502849847,0.129315881,0.429464817,0.247581355,0.655335652,7.254050694,86.82432432,0.015001535
Orthogonal Matching Pursuit,34,Dur_UD575,0.307516281,0.155420867,0.506435473,0.130295778,0.458107172,0.262032255,0.676836149,7.284229367,85.81081081,0.013000488
k-Nearest Neighbors Regressor,34,Dur_UD575,0.381511874,0.15565447,0.454214689,0.178029481,0.423322034,0.272170621,0.650632026,6.615588803,88.17567568,0.023998499
Decision Tree Regressor,34,Dur_UD575,-0.108280154,0.537080965,0.504745763,0.302414681,0.785875706,0.698092045,0.886496309,7.31780888,89.86486486,0.025999784
Random Forest Regressor,34,Dur_UD575,0.533143522,0.114680823,0.396008192,0.102441005,0.297991425,0.138228774,0.545885909,5.786357786,92.22972973,0.411227942
Extra Trees Regressor,34,Dur_UD575,0.570873609,0.09267597,0.378480791,0.089562602,0.269396356,0.105166605,0.51903406,5.581255363,92.90540541,0.20058012
Gradient Boosting Regressor,34,Dur_UD575,0.50781282,0.168235078,0.38578202,0.155584483,0.331059668,0.222672807,0.575377848,5.610231825,90.54054054,3.532426119
AdaBoost Regressor,34,Dur_UD575,0.464117653,0.176305806,0.483016995,0.059606441,0.319112888,0.091662806,0.564900777,7.314067403,92.90540541,0.177212715
XGBoost Regressor,34,Dur_UD575,0.557019794,0.087584579,0.37922232,0.104466012,0.283028399,0.125434294,0.532004134,5.526069247,92.22972973,0.992973328
LightGBM Regressor,34,Dur_UD575,0.545891879,0.148237267,0.37867882,0.090936246,0.279866404,0.106116134,0.529024011,5.550492849,92.90540541,0.104999542
Linear Regression,33,sa2.4,-0.979712876,1.601915624,0.572082854,0.132342387,1.295997483,1.070587948,1.138418852,8.10001044,84.7972973,0.024000168
Ridge Regression,33,sa2.4,0.314577233,0.097003317,0.496814777,0.092636435,0.437141614,0.174867295,0.661166858,7.216556042,86.14864865,0.025998354
Bayesian Ridge,33,sa2.4,0.037912845,0.506951101,0.491602999,0.056913922,0.601092576,0.341759517,0.775301603,7.084370454,87.5,0.025999784
Lasso Regression,33,sa2.4,0.298179676,0.165723792,0.538138256,0.152387359,0.478389192,0.31017822,0.691656845,7.752447173,85.81081081,0.024000406
Elastic Net,33,sa2.4,0.314809385,0.135864309,0.514875736,0.136629764,0.45831853,0.266800841,0.676992268,7.419724837,86.14864865,0.013998985
Orthogonal Matching Pursuit,33,sa2.4,0.280013033,0.12874689,0.509688183,0.127842551,0.475210456,0.254548716,0.689355101,7.306983784,84.7972973,0.024999142
k-Nearest Neighbors Regressor,33,sa2.4,0.336972706,0.166601279,0.463672316,0.177941492,0.449453107,0.283881545,0.67041264,6.749517375,87.83783784,0.025000572
Decision Tree Regressor,33,sa2.4,0.136989257,0.436763818,0.387909605,0.103317625,0.509152542,0.203789438,0.713549257,5.706376019,95.27027027,0.025996923
Random Forest Regressor,33,sa2.4,0.499011559,0.125873304,0.411408757,0.100602197,0.316680038,0.138531027,0.562743315,6.015011663,91.89189189,0.464554787
Extra Trees Regressor,33,sa2.4,0.526168363,0.107316195,0.39250226,0.093062079,0.29837735,0.12335798,0.546239279,5.781149453,92.56756757,0.201056719
Gradient Boosting Regressor,33,sa2.4,0.506658447,0.167618176,0.384510019,0.092402394,0.300212587,0.107918058,0.547916588,5.640606241,91.89189189,3.483793497
AdaBoost Regressor,33,sa2.4,0.420297789,0.225624638,0.502156191,0.066480591,0.34204096,0.107420121,0.584842679,7.611529554,90.87837838,0.188052654
XGBoost Regressor,33,sa2.4,0.503688335,0.139806074,0.391238357,0.089291052,0.304422778,0.108103376,0.551745211,5.706985615,92.22972973,1.022572994
LightGBM Regressor,33,sa2.4,0.506491744,0.170602583,0.392424203,0.073271333,0.296004378,0.084192411,0.544062844,5.790318595,92.22972973,0.11599803
Linear Regression,32,sa2.2,-1.17164999,1.991661207,0.583934152,0.132454609,1.405253172,1.286234443,1.185433748,8.237884555,84.45945946,0.023999691
Ridge Regression,32,sa2.2,0.306829868,0.102700482,0.499799306,0.092824742,0.441113872,0.175898311,0.66416404,7.263499591,86.14864865,0.025997639
Bayesian Ridge,32,sa2.2,-0.035086966,0.633335039,0.5007635,0.0582118,0.641576601,0.411302406,0.80098477,7.212087767,88.51351351,0.023998499
Lasso Regression,32,sa2.2,0.288159352,0.169224471,0.541527768,0.153542295,0.485208279,0.31563407,0.696568933,7.801629909,85.81081081,0.013826609
Elastic Net,32,sa2.2,0.282968013,0.140325181,0.524023848,0.142518466,0.480193159,0.279084654,0.69295971,7.540090619,85.81081081,0.01300025
Orthogonal Matching Pursuit,32,sa2.2,0.262668274,0.159419043,0.519271552,0.147586931,0.496667946,0.302598288,0.704746724,7.440629439,84.7972973,0.024882078
k-Nearest Neighbors Regressor,32,sa2.2,0.308917723,0.168375482,0.469774011,0.17496346,0.462329944,0.277785442,0.679948486,6.828882454,87.16216216,0.025999546
Decision Tree Regressor,32,sa2.2,0.009726971,0.416809749,0.408305085,0.082812526,0.583446328,0.197560176,0.763836584,5.940315315,93.24324324,0.027997255
Random Forest Regressor,32,sa2.2,0.485418447,0.131416391,0.413146893,0.103425971,0.324623749,0.144098202,0.569757623,6.030891382,91.89189189,0.430882215
Extra Trees Regressor,32,sa2.2,0.499268284,0.132073854,0.403127684,0.100382041,0.315462633,0.137892159,0.561660603,5.93007293,92.56756757,0.199002266
Gradient Boosting Regressor,32,sa2.2,0.506026699,0.181821116,0.381758543,0.092918624,0.300012952,0.111739144,0.547734381,5.590230078,92.90540541,3.507134676
AdaBoost Regressor,32,sa2.2,0.40998156,0.27233586,0.496463731,0.07659249,0.343441811,0.11770412,0.586039087,7.505922304,91.21621622,0.188615084
XGBoost Regressor,32,sa2.2,0.493072486,0.15409966,0.39374148,0.097597918,0.313881961,0.127998714,0.560251694,5.713373251,90.54054054,0.964503288
LightGBM Regressor,32,sa2.2,0.489988654,0.165833271,0.406599493,0.094713959,0.314285973,0.113022178,0.560612141,5.965986928,91.55405405,0.125502825
Linear Regression,31,Am03,-1.235530342,2.259518502,0.586958963,0.140668314,1.456984046,1.445303186,1.207055941,8.287167169,86.14864865,0.012514114
Ridge Regression,31,Am03,0.307757726,0.102525874,0.499558655,0.092497194,0.440451871,0.175318999,0.663665481,7.260018149,86.14864865,0.026000023
Bayesian Ridge,31,Am03,-0.039195028,0.641201208,0.501764934,0.058560096,0.644391494,0.41625609,0.802739992,7.228995473,88.17567568,0.026998758
Lasso Regression,31,Am03,0.288159541,0.169224407,0.541527799,0.153542282,0.485208194,0.315634108,0.696568873,7.801630544,85.81081081,0.023998499
Elastic Net,31,Am03,0.282968325,0.140324998,0.524023948,0.1425184,0.480193005,0.279084663,0.692959598,7.540092578,85.81081081,0.023500443
Orthogonal Matching Pursuit,31,Am03,0.262668274,0.159419043,0.519271552,0.147586931,0.496667946,0.302598288,0.704746724,7.440629439,84.7972973,0.013997793
k-Nearest Neighbors Regressor,31,Am03,0.312198613,0.166515405,0.467774011,0.170770323,0.458983051,0.273045829,0.677482879,6.806762119,87.83783784,0.023997784
Decision Tree Regressor,31,Am03,0.076451447,0.451551404,0.424519774,0.179273148,0.585649718,0.356764447,0.765277543,6.088454526,93.24324324,0.027513266
Random Forest Regressor,31,Am03,0.48885165,0.146367741,0.413183616,0.10265118,0.321999822,0.147374437,0.567450282,6.025579151,91.55405405,0.436235428
Extra Trees Regressor,31,Am03,0.497028197,0.127743782,0.403773446,0.086301384,0.309226322,0.105643854,0.556081219,5.950289575,92.90540541,0.211497307
Gradient Boosting Regressor,31,Am03,0.513825489,0.17700732,0.380004069,0.091247994,0.294638649,0.107315132,0.542806272,5.569353128,92.22972973,3.497201681
AdaBoost Regressor,31,Am03,0.415454299,0.247742549,0.502088783,0.0640933,0.338469607,0.09601518,0.581781408,7.577008733,91.55405405,0.178508997
XGBoost Regressor,31,Am03,0.488181555,0.154514969,0.396404445,0.086648975,0.31237279,0.108748549,0.558903202,5.774147553,91.21621622,0.942006588
LightGBM Regressor,31,Am03,0.497730526,0.160768065,0.400691321,0.097878704,0.309021054,0.115502983,0.555896622,5.879071529,91.55405405,0.115641356
Linear Regression,30,sa1.4,-0.585357136,1.121139313,0.547301534,0.113842348,1.022507574,0.753716604,1.011191166,7.778559402,85.81081081,0.012998581
Ridge Regression,30,sa1.4,0.323698603,0.104407886,0.497553923,0.094600881,0.430779886,0.177436215,0.65633824,7.236182674,86.48648649,0.025544643
Bayesian Ridge,30,sa1.4,0.175077708,0.272798252,0.488407611,0.0549408,0.502265493,0.181624772,0.708706916,7.062770106,88.51351351,0.027159929
Lasso Regression,30,sa1.4,0.288159541,0.169224407,0.541527799,0.153542282,0.485208194,0.315634108,0.696568873,7.801630544,85.81081081,0.024000406
Elastic Net,30,sa1.4,0.282968325,0.140324998,0.524023948,0.1425184,0.480193005,0.279084663,0.692959598,7.540092578,85.81081081,0.02499938
Orthogonal Matching Pursuit,30,sa1.4,0.262668274,0.159419043,0.519271552,0.147586931,0.496667946,0.302598288,0.704746724,7.440629439,84.7972973,0.023997068
k-Nearest Neighbors Regressor,30,sa1.4,0.316819727,0.174316698,0.467084746,0.173171455,0.457471186,0.277792762,0.676366163,6.786116474,87.83783784,0.024902344
Decision Tree Regressor,30,sa1.4,-0.002282845,0.431034226,0.438248588,0.15122676,0.606610169,0.259735131,0.778851828,6.408864221,93.58108108,0.024999142
Random Forest Regressor,30,sa1.4,0.492143474,0.142889735,0.410027119,0.097282452,0.318656605,0.137631532,0.564496771,5.98685851,92.22972973,0.454674721
Extra Trees Regressor,30,sa1.4,0.473789492,0.149686391,0.407675141,0.099871557,0.326610853,0.131505869,0.571498778,5.980420152,91.89189189,0.200972319
Gradient Boosting Regressor,30,sa1.4,0.496222102,0.185218385,0.38468079,0.097260665,0.305208344,0.113087703,0.552456644,5.624462997,92.22972973,3.350037098
AdaBoost Regressor,30,sa1.4,0.415068177,0.261362656,0.501621448,0.059285014,0.336125734,0.093390857,0.579763516,7.605177792,91.89189189,0.188716412
XGBoost Regressor,30,sa1.4,0.476637828,0.11848701,0.407110112,0.107552091,0.330719189,0.142339203,0.575081898,5.920837624,91.21621622,0.838081598
LightGBM Regressor,30,sa1.4,0.49620059,0.164978409,0.396519342,0.084346086,0.304071646,0.092646886,0.551426918,5.841192683,91.89189189,0.104510784
Linear Regression,29,Dur_H575,-0.593068643,1.149612473,0.544292404,0.106042638,1.02239018,0.763638009,1.011133117,7.739822102,86.14864865,0.013026237
Ridge Regression,29,Dur_H575,0.326249237,0.10612382,0.497096951,0.094612597,0.429362,0.178417296,0.655257202,7.228793168,86.48648649,0.02600193
Bayesian Ridge,29,Dur_H575,0.170988217,0.275809769,0.487918066,0.054467804,0.504511114,0.182823011,0.710289458,7.054803012,87.83783784,0.026000738
Lasso Regression,29,Dur_H575,0.288159547,0.169224412,0.541527944,0.153542176,0.485208191,0.31563411,0.69656887,7.801633225,85.81081081,0.013001919
Elastic Net,29,Dur_H575,0.282965972,0.140323826,0.524024146,0.142518258,0.480194471,0.279084258,0.692960656,7.540094699,85.81081081,0.012999058
Orthogonal Matching Pursuit,29,Dur_H575,0.250673895,0.180016104,0.533906713,0.162605658,0.509119856,0.328026965,0.713526353,7.64454972,84.45945946,0.01300025
k-Nearest Neighbors Regressor,29,Dur_H575,0.30126805,0.166380965,0.473853107,0.171281689,0.468524294,0.281419829,0.684488345,6.851673102,88.51351351,0.013000727
Decision Tree Regressor,29,Dur_H575,0.104509101,0.39083951,0.421299435,0.15545448,0.542429379,0.253543334,0.736498051,6.168892106,95.94594595,0.024996042
Random Forest Regressor,29,Dur_H575,0.481442163,0.131421766,0.413259322,0.094949378,0.325412568,0.135816189,0.570449444,6.024382642,92.56756757,0.484522104
Extra Trees Regressor,29,Dur_H575,0.49753983,0.123971721,0.403942373,0.085954029,0.309619955,0.107637435,0.556435041,5.964205277,92.90540541,0.199179173
Gradient Boosting Regressor,29,Dur_H575,0.508939344,0.170589874,0.381543276,0.100443877,0.300347576,0.114185578,0.548039758,5.584999508,91.89189189,3.33486414
AdaBoost Regressor,29,Dur_H575,0.423863064,0.252348958,0.498145225,0.062931456,0.336847294,0.105676959,0.58038547,7.511841169,91.89189189,0.237546682
XGBoost Regressor,29,Dur_H575,0.494445789,0.120054586,0.391959614,0.084063716,0.310212676,0.097211773,0.556967393,5.711534347,92.56756757,0.94792223
LightGBM Regressor,29,Dur_H575,0.486738771,0.150404688,0.401810318,0.086920348,0.312473392,0.097738992,0.558993195,5.888938443,91.55405405,0.126002312
Linear Regression,28,PGA_HE,-0.555087187,1.092660116,0.537688154,0.104468045,0.995237806,0.727223159,0.997616062,7.627275147,85.47297297,0.024498463
Ridge Regression,28,PGA_HE,0.328959324,0.104463414,0.496290226,0.093646972,0.42739634,0.176294701,0.653755566,7.218111687,86.48648649,0.025998116
Bayesian Ridge,28,PGA_HE,0.177932853,0.272727149,0.486974853,0.054566845,0.501424796,0.183423031,0.708113547,7.033956774,87.83783784,0.024999857
Lasso Regression,28,PGA_HE,0.28815931,0.1692248,0.541528063,0.153542411,0.485208458,0.315634642,0.696569062,7.801634807,85.81081081,0.025558472
Elastic Net,28,PGA_HE,0.282965842,0.140324001,0.524024206,0.142518382,0.480194609,0.27908452,0.692960756,7.540095366,85.81081081,0.023998499
Orthogonal Matching Pursuit,28,PGA_HE,0.250673895,0.180016104,0.533906713,0.162605658,0.509119856,0.328026965,0.713526353,7.64454972,84.45945946,0.013000011
k-Nearest Neighbors Regressor,28,PGA_HE,0.312454285,0.168024193,0.471853107,0.167962871,0.455568362,0.259983018,0.674958044,6.839473402,88.51351351,0.024999142
Decision Tree Regressor,28,PGA_HE,-0.004073285,0.574495844,0.428700565,0.100669279,0.563502825,0.214973823,0.750668252,6.209110897,95.27027027,0.024998665
Random Forest Regressor,28,PGA_HE,0.481822731,0.127514165,0.414097458,0.098018222,0.32816184,0.146250163,0.572854118,6.035774614,92.90540541,0.453520298
Extra Trees Regressor,28,PGA_HE,0.506943639,0.117213337,0.39850452,0.089806364,0.30494074,0.1090147,0.552214397,5.850252038,92.56756757,0.199151039
Gradient Boosting Regressor,28,PGA_HE,0.504160346,0.168806197,0.379588646,0.096887525,0.301474921,0.107733413,0.549067319,5.55342319,92.56756757,3.13857913
AdaBoost Regressor,28,PGA_HE,0.410633112,0.206772255,0.512391562,0.047070712,0.346302299,0.085218101,0.588474552,7.761221127,92.22972973,0.17797184
XGBoost Regressor,28,PGA_HE,0.513724852,0.113106114,0.389051359,0.090060868,0.30242753,0.113413075,0.549934115,5.679798407,91.55405405,0.788037777
LightGBM Regressor,28,PGA_HE,0.483358249,0.140895284,0.402590854,0.080354156,0.314799841,0.09616616,0.561070264,5.903521391,90.87837838,0.114491224
Linear Regression,27,EPA,-0.511121045,1.092176916,0.535806123,0.106243421,0.972746272,0.728092739,0.986279003,7.579075778,85.81081081,0.0259974
Ridge Regression,27,EPA,0.330027213,0.103473004,0.496183554,0.093269718,0.426795431,0.175886171,0.653295822,7.215674157,86.48648649,0.025997162
Bayesian Ridge,27,EPA,0.187280055,0.268746853,0.48727945,0.054749125,0.497496838,0.185117988,0.705334558,7.035912457,87.5,0.024005175
Lasso Regression,27,EPA,0.288159062,0.16922481,0.541528121,0.153542372,0.485208553,0.315634555,0.69656913,7.801635956,85.81081081,0.025998592
Elastic Net,27,EPA,0.282965428,0.140324171,0.52402442,0.142518309,0.480194743,0.279084399,0.692960852,7.540098833,85.81081081,0.026000023
Orthogonal Matching Pursuit,27,EPA,0.250673895,0.180016104,0.533906713,0.162605658,0.509119856,0.328026965,0.713526353,7.64454972,84.45945946,0.024998903
k-Nearest Neighbors Regressor,27,EPA,0.305278632,0.168951965,0.473853107,0.171496236,0.46079548,0.265695333,0.678819181,6.863202488,88.17567568,0.024996519
Decision Tree Regressor,27,EPA,-0.052907047,0.473028504,0.44559322,0.082402171,0.613954802,0.198890568,0.78355268,6.499356499,93.58108108,0.02799964
Random Forest Regressor,27,EPA,0.502750747,0.125351165,0.404890395,0.09794891,0.313802243,0.136442197,0.560180545,5.911625912,92.56756757,0.498196125
Extra Trees Regressor,27,EPA,0.508318011,0.130629438,0.397285311,0.086480522,0.301775034,0.103298099,0.549340545,5.864851459,93.58108108,0.200587273
Gradient Boosting Regressor,27,EPA,0.512811319,0.16551622,0.377114183,0.089218075,0.293907128,0.096441606,0.542132021,5.52524645,92.56756757,2.990464449
AdaBoost Regressor,27,EPA,0.413786976,0.260123195,0.508179079,0.074160502,0.342296865,0.113836211,0.585061419,7.708732405,92.56756757,0.219266891
XGBoost Regressor,27,EPA,0.514020848,0.126193254,0.386923361,0.078038867,0.297181882,0.096512536,0.54514391,5.631052075,91.89189189,1.139832735
LightGBM Regressor,27,EPA,0.502960516,0.12646029,0.400533955,0.081338925,0.304732049,0.095592545,0.552025406,5.885293232,92.56756757,0.116000891
Linear Regression,26,sa1.0,-0.473874423,1.084048882,0.53148783,0.108022695,0.95540367,0.726682681,0.977447528,7.525016829,86.82432432,0.026089668
Ridge Regression,26,sa1.0,0.330547434,0.101907765,0.495911256,0.093295193,0.42663995,0.175735097,0.653176814,7.211803169,86.48648649,0.027941227
Bayesian Ridge,26,sa1.0,0.193130631,0.260609456,0.486203536,0.05471191,0.494532028,0.181926373,0.703229712,7.021072984,87.5,0.028525829
Lasso Regression,26,sa1.0,0.288159062,0.16922481,0.541528121,0.153542372,0.485208553,0.315634555,0.69656913,7.801635956,85.81081081,0.025871992
Elastic Net,26,sa1.0,0.282965428,0.140324171,0.52402442,0.142518309,0.480194743,0.279084399,0.692960852,7.540098833,85.81081081,0.02451849
Orthogonal Matching Pursuit,26,sa1.0,0.250673895,0.180016104,0.533906713,0.162605658,0.509119856,0.328026965,0.713526353,7.64454972,84.45945946,0.025514841
k-Nearest Neighbors Regressor,26,sa1.0,0.28988843,0.166271989,0.475898305,0.169690338,0.47040226,0.26504915,0.685858775,6.879692192,87.5,0.025998592
Decision Tree Regressor,26,sa1.0,-0.052620529,0.390085509,0.479039548,0.113027735,0.627175141,0.206571196,0.7919439,7.04499142,94.59459459,0.025386572
Random Forest Regressor,26,sa1.0,0.479127466,0.136895686,0.413111582,0.099634374,0.326940264,0.139581066,0.571786904,6.018688331,91.89189189,0.6233778
Extra Trees Regressor,26,sa1.0,0.505892661,0.101767044,0.405343503,0.092065249,0.306793989,0.107702389,0.553889871,5.966537967,92.56756757,0.309028149
Gradient Boosting Regressor,26,sa1.0,0.508050935,0.160981461,0.379273008,0.103230796,0.30287324,0.118345439,0.550339204,5.538976672,92.22972973,2.83503747
AdaBoost Regressor,26,sa1.0,0.402821075,0.218448989,0.50795895,0.065946585,0.352924468,0.104294068,0.594074464,7.661693338,91.55405405,0.166045189
XGBoost Regressor,26,sa1.0,0.516868615,0.122271581,0.386709162,0.08216068,0.296143943,0.098623305,0.544191091,5.617024295,91.89189189,0.796269417
LightGBM Regressor,26,sa1.0,0.500997104,0.138090993,0.401758036,0.098671417,0.31112015,0.120904887,0.557781454,5.885889396,91.89189189,0.113516092
Linear Regression,25,Tm_h,-0.353378881,0.890350419,0.523049035,0.104789949,0.877145535,0.612772467,0.936560481,7.410774886,86.14864865,0.024000645
Ridge Regression,25,Tm_h,0.332466695,0.098920354,0.495504602,0.093833388,0.426038369,0.176809122,0.652716148,7.206534862,86.48648649,0.025999069
Bayesian Ridge,25,Tm_h,0.20310445,0.244781211,0.483950511,0.05619213,0.489050864,0.174450544,0.699321717,6.987387031,86.82432432,0.023998737
Lasso Regression,25,Tm_h,0.288159009,0.169224896,0.541528148,0.153542425,0.485208612,0.315634674,0.696569173,7.801636308,85.81081081,0.024998188
Elastic Net,25,Tm_h,0.282965428,0.140324172,0.52402442,0.14251831,0.480194744,0.279084401,0.692960853,7.540098837,85.81081081,0.02499795
Orthogonal Matching Pursuit,25,Tm_h,0.250673895,0.180016104,0.533906713,0.162605658,0.509119856,0.328026965,0.713526353,7.64454972,84.45945946,0.012998581
k-Nearest Neighbors Regressor,25,Tm_h,0.315497975,0.16282005,0.46779661,0.168266761,0.454983051,0.265164009,0.674524314,6.778340841,87.83783784,0.024998903
Decision Tree Regressor,25,Tm_h,-0.018029657,0.397556529,0.445310734,0.111098445,0.606892655,0.211723916,0.779033154,6.412215787,93.91891892,0.025000334
Random Forest Regressor,25,Tm_h,0.491922627,0.115474906,0.412644068,0.108032207,0.324341613,0.150231203,0.569509976,6.016087516,92.56756757,0.44222188
Extra Trees Regressor,25,Tm_h,0.487896125,0.119086072,0.40899887,0.091765061,0.318058441,0.116914388,0.563966702,6.044052982,91.21621622,0.206970453
Gradient Boosting Regressor,25,Tm_h,0.499107296,0.176187389,0.381734104,0.103083715,0.306280236,0.118014808,0.553425908,5.582059769,91.89189189,2.804084539
AdaBoost Regressor,25,Tm_h,0.42911562,0.243548025,0.499583198,0.056260778,0.331636517,0.095454609,0.575878908,7.570973772,91.55405405,0.179000139
XGBoost Regressor,25,Tm_h,0.529060423,0.09920219,0.380426792,0.08486497,0.291590187,0.100088806,0.539990914,5.547787264,92.22972973,0.763363361
LightGBM Regressor,25,Tm_h,0.479910009,0.144996096,0.412683287,0.078514179,0.315925051,0.091798545,0.562072105,6.104291807,91.55405405,0.12600112
Linear Regression,24,PGV_HE,-0.265526985,0.813700529,0.510743351,0.08405699,0.801217587,0.539858677,0.895107584,7.24295189,86.48648649,0.024001122
Ridge Regression,24,PGV_HE,0.332258629,0.099626502,0.495532439,0.092356023,0.425514898,0.174739498,0.65231503,7.210375724,86.48648649,0.02499938
Bayesian Ridge,24,PGV_HE,0.191589268,0.264035504,0.485258128,0.054802854,0.494386531,0.181001595,0.703126255,7.005346124,87.5,0.024998665
Lasso Regression,24,PGV_HE,0.288489661,0.169869457,0.542105124,0.155102768,0.485061917,0.316032547,0.696463866,7.810316768,85.47297297,0.026000023
Elastic Net,24,PGV_HE,0.281773097,0.1297895,0.523916301,0.138180018,0.478131667,0.266521797,0.691470655,7.542106764,85.47297297,0.025000572
Orthogonal Matching Pursuit,24,PGV_HE,0.250673895,0.180016104,0.533906713,0.162605658,0.509119856,0.328026965,0.713526353,7.64454972,84.45945946,0.013999701
k-Nearest Neighbors Regressor,24,PGV_HE,0.284576665,0.183612006,0.47659887,0.166080849,0.468960452,0.258841492,0.684806872,6.908917846,87.5,0.027003288
Decision Tree Regressor,24,PGV_HE,-0.163872219,0.555506917,0.498926554,0.183809928,0.733728814,0.448174951,0.856579718,7.216591592,92.22972973,0.027997255
Random Forest Regressor,24,PGV_HE,0.484141241,0.12526273,0.411181356,0.099272946,0.324442664,0.136504622,0.569598687,5.994764854,92.56756757,0.476558685
Extra Trees Regressor,24,PGV_HE,0.51133915,0.126173659,0.400477966,0.093411128,0.303209073,0.11486395,0.550644235,5.892977799,92.22972973,0.245007038
Gradient Boosting Regressor,24,PGV_HE,0.499018289,0.17416799,0.380164366,0.098949283,0.304887421,0.111038307,0.552166117,5.555480236,91.55405405,2.623192549
AdaBoost Regressor,24,PGV_HE,0.396770223,0.277029828,0.509630318,0.062508403,0.348121291,0.106179781,0.590018043,7.715407399,92.22972973,0.17802906
XGBoost Regressor,24,PGV_HE,0.506066036,0.125676249,0.38561009,0.081680059,0.30113461,0.091057367,0.548757332,5.620512466,92.22972973,0.747932196
LightGBM Regressor,24,PGV_HE,0.487629713,0.124571904,0.409390373,0.098149638,0.319057662,0.119287322,0.564851894,5.995680575,91.55405405,0.436218977
Linear Regression,23,sa1.2,-0.314543053,0.920175003,0.519043219,0.076086465,0.81659162,0.5895125,0.903654591,7.376081838,86.48648649,0.026387453
Ridge Regression,23,sa1.2,0.340095687,0.102497117,0.494156532,0.092981014,0.420687916,0.175441361,0.648604591,7.193088683,86.14864865,0.024118423
Bayesian Ridge,23,sa1.2,0.167411016,0.274985245,0.495679555,0.064910623,0.511997975,0.195280361,0.715540338,7.15669729,86.14864865,0.030308247
Lasso Regression,23,sa1.2,0.288489661,0.169869457,0.542105124,0.155102768,0.485061917,0.316032547,0.696463866,7.810316768,85.47297297,0.025999784
Elastic Net,23,sa1.2,0.281773351,0.129789219,0.523915738,0.138180258,0.478131567,0.26652184,0.691470583,7.542097634,85.47297297,0.025996923
