Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Random Forest Regressor,12,PGV_UD,0.4433091,0.116714025,0.420765819,0.100236466,0.347336346,0.129997397,0.58935248,6.132282953,92.22972973,0.39801383
Extra Trees Regressor,12,PGV_UD,0.417229536,0.118270542,0.431858192,0.114577627,0.370509452,0.161584441,0.608694876,6.308980856,90.87837838,0.155990601
Gradient Boosting Regressor,12,PGV_UD,0.403398437,0.121110898,0.404021188,0.097519891,0.367565064,0.113365446,0.606271445,5.912302499,90.2027027,1.670707226
AdaBoost Regressor,12,PGV_UD,0.360423111,0.13210786,0.507031631,0.098318431,0.403882969,0.164782192,0.635517874,7.548130474,89.52702703,0.123003483
XGBoost Regressor,12,PGV_UD,0.403018653,0.089635424,0.421546523,0.107986845,0.373992532,0.130558664,0.611549288,6.146340564,88.85135135,0.406623602
LightGBM Regressor,12,PGV_UD,0.44409814,0.082053008,0.417993338,0.116602356,0.353407014,0.14275143,0.594480458,6.07675083,91.21621622,0.104001045
Linear Regression,11,Caa,0.139235088,0.262372681,0.508563751,0.045617633,0.522981778,0.173874773,0.72317479,7.404940506,87.5,0.024000168
Ridge Regression,11,Caa,0.319283616,0.136292802,0.50680851,0.111225935,0.436239646,0.202630907,0.660484403,7.392040701,86.48648649,0.025997877
Bayesian Ridge,11,Caa,0.269230039,0.127375673,0.508377852,0.082654827,0.454961339,0.151643091,0.67450822,7.405749156,86.82432432,0.025999784
Lasso Regression,11,Caa,0.249383765,0.193695267,0.551268322,0.166251567,0.51243832,0.342248782,0.715847973,7.965967381,84.7972973,0.024999142
Elastic Net,11,Caa,0.273396684,0.161209542,0.530384045,0.1468362,0.484908802,0.287649115,0.696353934,7.669892323,84.7972973,0.023888588
Orthogonal Matching Pursuit,11,Caa,0.237060161,0.27681167,0.552121923,0.194420178,0.548001984,0.449531237,0.740271561,7.914798408,85.13513514,0.013998985
k-Nearest Neighbors Regressor,11,Caa,0.28596783,0.173685811,0.467977401,0.14086196,0.46119774,0.228731889,0.67911541,6.756756757,88.85135135,0.029418707
Decision Tree Regressor,11,Caa,-0.124235064,0.342969731,0.471525424,0.217034941,0.760112994,0.509291447,0.871844593,6.607947233,88.85135135,0.026011229
Random Forest Regressor,11,Caa,0.409054124,0.148015663,0.435835876,0.131099599,0.381084363,0.196233455,0.617320308,6.315332073,89.52702703,0.433978319
Extra Trees Regressor,11,Caa,0.398897175,0.153330978,0.435227684,0.1323391,0.387125418,0.197226884,0.622194036,6.345164361,88.51351351,0.191594362
Gradient Boosting Regressor,11,Caa,0.382424634,0.106438479,0.40900094,0.107649445,0.388170306,0.142799072,0.62303315,5.913190209,91.55405405,1.58338356
AdaBoost Regressor,11,Caa,0.406834228,0.196585222,0.460522598,0.093772626,0.350538515,0.086829063,0.592062932,6.883721279,90.87837838,0.22500968
XGBoost Regressor,11,Caa,0.415201879,0.077053874,0.418511404,0.114425746,0.374755325,0.158628245,0.612172627,6.037992542,88.85135135,0.607149839
LightGBM Regressor,11,Caa,0.406564674,0.108834253,0.433927649,0.13703209,0.382562071,0.181169516,0.618516024,6.317971989,89.18918919,0.104999304
Linear Regression,10,I_a_r,0.173099985,0.221049541,0.505437733,0.046600495,0.503385752,0.152705167,0.70949683,7.368543595,87.83783784,0.024562836
Ridge Regression,10,I_a_r,0.325105687,0.128879338,0.50774665,0.111532757,0.434760274,0.206837625,0.659363537,7.404926278,86.82432432,0.025206089
Bayesian Ridge,10,I_a_r,0.270983199,0.125251354,0.5070955,0.080511447,0.453645623,0.149070882,0.673532199,7.38854964,86.82432432,0.026000023
Lasso Regression,10,I_a_r,0.256931316,0.192462363,0.550509622,0.166486884,0.509054881,0.343850291,0.713480821,7.959788291,84.7972973,0.036002398
Elastic Net,10,I_a_r,0.278337209,0.159222417,0.529555971,0.14704709,0.482913229,0.289438715,0.694919585,7.659800189,84.7972973,0.028000593
Orthogonal Matching Pursuit,10,I_a_r,0.237060161,0.27681167,0.552121923,0.194420178,0.548001984,0.449531237,0.740271561,7.914798408,85.13513514,0.025003433
k-Nearest Neighbors Regressor,10,I_a_r,0.282106486,0.147663531,0.480067797,0.150585474,0.472357062,0.253718678,0.687282374,6.925943801,88.17567568,0.02499795
Decision Tree Regressor,10,I_a_r,-0.072317189,0.309821989,0.461412429,0.215006872,0.736440678,0.510676025,0.858161219,6.447072072,89.52702703,0.026974916
Random Forest Regressor,10,I_a_r,0.439758456,0.126902454,0.423475141,0.119108534,0.359448073,0.173923577,0.599539885,6.140980266,90.87837838,0.437129021
Extra Trees Regressor,10,I_a_r,0.409033155,0.136585924,0.433008475,0.143388032,0.386373395,0.208250367,0.621589411,6.309416559,88.17567568,0.155216217
Gradient Boosting Regressor,10,I_a_r,0.393974384,0.104665347,0.401189629,0.103130566,0.380432128,0.139636785,0.616791803,5.798819987,91.21621622,1.375024319
AdaBoost Regressor,10,I_a_r,0.333394529,0.190282753,0.513269121,0.13234505,0.428248205,0.22434627,0.654406758,7.585076043,88.85135135,0.12232995
XGBoost Regressor,10,I_a_r,0.372431028,0.124601494,0.431049568,0.127806016,0.404210267,0.192010145,0.635775328,6.201790539,88.51351351,0.343289852
LightGBM Regressor,10,I_a_r,0.419445936,0.116310606,0.429656655,0.132037114,0.373038159,0.1762718,0.610768499,6.258990338,89.52702703,0.104782343
Linear Regression,9,sa0.6,0.226152852,0.16274666,0.499739842,0.049695422,0.471285609,0.121064206,0.686502446,7.303182449,87.83783784,0.025813341
Ridge Regression,9,sa0.6,0.330633504,0.119626047,0.50695575,0.10864527,0.431800665,0.204059072,0.657115412,7.392558186,86.82432432,0.027008533
Bayesian Ridge,9,sa0.6,0.294911112,0.126160558,0.501635879,0.080013202,0.438342627,0.146273096,0.662074488,7.321170187,87.16216216,0.025999308
Lasso Regression,9,sa0.6,0.256931316,0.192462363,0.550509622,0.166486884,0.509054881,0.343850291,0.713480821,7.959788291,84.7972973,0.024000168
Elastic Net,9,sa0.6,0.278576724,0.159121042,0.529488379,0.147066536,0.482813735,0.289492043,0.694847994,7.658892459,84.7972973,0.014000893
Orthogonal Matching Pursuit,9,sa0.6,0.237060161,0.27681167,0.552121923,0.194420178,0.548001984,0.449531237,0.740271561,7.914798408,85.13513514,0.023999214
k-Nearest Neighbors Regressor,9,sa0.6,0.286522564,0.134333851,0.467920904,0.147960777,0.461742373,0.224315327,0.679516279,6.768822394,88.85135135,0.024000168
Decision Tree Regressor,9,sa0.6,0.117869784,0.213808833,0.39440678,0.13243309,0.555875706,0.236547701,0.745570725,5.82703239,92.56756757,0.024999619
Random Forest Regressor,9,sa0.6,0.44447954,0.138311726,0.419858192,0.121997384,0.353966404,0.169478284,0.594950758,6.100161545,92.56756757,0.418486595
Extra Trees Regressor,9,sa0.6,0.436168952,0.106208066,0.416718644,0.113478732,0.360851864,0.162271281,0.600709468,6.075349903,89.86486486,0.156968117
Gradient Boosting Regressor,9,sa0.6,0.390757538,0.123967706,0.399764354,0.10202603,0.376872462,0.122963895,0.613899391,5.793786671,91.55405405,1.242814779
AdaBoost Regressor,9,sa0.6,0.326076202,0.200237048,0.519848504,0.130120848,0.432113002,0.22519704,0.657353027,7.695324774,87.83783784,0.136007547
XGBoost Regressor,9,sa0.6,0.390362644,0.11484605,0.426931433,0.115297537,0.388074082,0.168580325,0.622955923,6.169161505,88.85135135,0.311545849
LightGBM Regressor,9,sa0.6,0.384920584,0.136936633,0.433982394,0.128387662,0.386823377,0.159758381,0.621951266,6.300974345,89.52702703,0.137446165
Linear Regression,8,I_f,0.255652001,0.153669254,0.495789377,0.052620743,0.453019473,0.113573235,0.673067213,7.252834421,88.17567568,0.026003838
Ridge Regression,8,I_f,0.310871924,0.121956186,0.517624705,0.119911698,0.449766492,0.227959714,0.670646324,7.539264253,86.48648649,0.025999308
Bayesian Ridge,8,I_f,0.284871249,0.120145801,0.500259515,0.072892369,0.444721396,0.143898631,0.666874348,7.302312874,88.17567568,0.025001287
Lasso Regression,8,I_f,0.210757946,0.246813612,0.563604812,0.192107333,0.55767099,0.424677613,0.74677372,8.101480142,83.78378378,0.024000168
Elastic Net,8,I_f,0.249414692,0.184736517,0.54056149,0.166599441,0.514681516,0.342158745,0.717413072,7.791436072,84.45945946,0.025002003
Orthogonal Matching Pursuit,8,I_f,0.049635847,0.194863515,0.617333632,0.163243104,0.647671158,0.402505877,0.804780192,8.844678785,80.06756757,0.024998903
k-Nearest Neighbors Regressor,8,I_f,0.256076167,0.156516355,0.483423729,0.154110523,0.484720904,0.245730113,0.696219006,6.975949163,86.82432432,0.024999619
Decision Tree Regressor,8,I_f,-0.143070019,0.486788577,0.515254237,0.262049466,0.750056497,0.511273851,0.866058022,7.614757615,88.17567568,0.025996923
Random Forest Regressor,8,I_f,0.43964348,0.117328013,0.426586441,0.118033049,0.358524655,0.166862862,0.598769284,6.186618538,90.87837838,0.452907562
Extra Trees Regressor,8,I_f,0.436851183,0.132917182,0.416788136,0.11344572,0.352671644,0.141418924,0.593861637,6.09454097,90.2027027,0.155971527
Gradient Boosting Regressor,8,I_f,0.487208084,0.10909739,0.366541241,0.08039063,0.315111807,0.094389462,0.561348205,5.333826594,93.58108108,1.283409119
AdaBoost Regressor,8,I_f,0.340689465,0.183609166,0.500742301,0.135806831,0.416503577,0.193177938,0.645370883,7.421980263,88.51351351,0.178168297
XGBoost Regressor,8,I_f,0.4149683,0.162391075,0.409588624,0.079921704,0.349444949,0.085448831,0.591138689,5.958655577,90.54054054,0.266628265
LightGBM Regressor,8,I_f,0.359879681,0.141776941,0.453046123,0.139886439,0.408697792,0.189839846,0.639294761,6.585832565,87.83783784,0.104999781
Linear Regression,7,V_ms,0.286118708,0.164238643,0.49318096,0.077897116,0.437715023,0.137172044,0.66160035,7.253063512,87.83783784,0.02400279
Ridge Regression,7,V_ms,0.29022452,0.116301314,0.520784317,0.10583824,0.453446073,0.195056618,0.673384046,7.609617934,86.48648649,0.024996758
Bayesian Ridge,7,V_ms,0.304864516,0.163733687,0.485196793,0.06193252,0.419713447,0.104392309,0.647852951,7.127558123,88.85135135,0.023999214
Lasso Regression,7,V_ms,0.207003933,0.248199909,0.561088529,0.194872551,0.561417905,0.4287355,0.749278256,8.073620601,84.12162162,0.02700305
Elastic Net,7,V_ms,0.280745101,0.123603108,0.523539849,0.138272744,0.472055348,0.244028015,0.687062842,7.61271751,85.81081081,0.026000738
Orthogonal Matching Pursuit,7,V_ms,0.049635847,0.194863515,0.617333632,0.163243104,0.647671158,0.402505877,0.804780192,8.844678785,80.06756757,0.013998985
k-Nearest Neighbors Regressor,7,V_ms,0.20237008,0.171037417,0.510576271,0.13602548,0.506770621,0.221637534,0.711878235,7.394492707,87.16216216,0.024000883
Decision Tree Regressor,7,V_ms,-0.408829244,0.653770167,0.579152542,0.305524918,0.908305085,0.606981408,0.95305041,8.599447662,84.12162162,0.0260005
Random Forest Regressor,7,V_ms,0.414746864,0.139344816,0.426735876,0.097190746,0.359278674,0.118415978,0.599398593,6.201315154,90.87837838,0.421004057
Extra Trees Regressor,7,V_ms,0.401045138,0.16104877,0.427005085,0.09115107,0.360478322,0.097712885,0.600398469,6.261435543,90.54054054,0.167430878
Gradient Boosting Regressor,7,V_ms,0.43089642,0.184189004,0.378973852,0.063200958,0.331379004,0.056579303,0.575655282,5.543229071,92.22972973,1.110839128
AdaBoost Regressor,7,V_ms,0.288827594,0.247097268,0.516648,0.136097978,0.438236684,0.191154629,0.661994474,7.652558472,86.48648649,0.123029947
XGBoost Regressor,7,V_ms,0.358321965,0.196335836,0.440452687,0.089269308,0.38064379,0.093013386,0.616963362,6.416424533,89.86486486,0.234043598
LightGBM Regressor,7,V_ms,0.287245527,0.160114779,0.482296204,0.122956351,0.445130299,0.173332593,0.667180859,7.029853613,87.16216216,0.104512215
Linear Regression,6,DI,0.314506223,0.161636198,0.483860689,0.069181682,0.420238226,0.128864508,0.648257839,7.105559201,89.52702703,0.023998499
Ridge Regression,6,DI,0.300064295,0.116985224,0.531712841,0.111371629,0.457332757,0.222879329,0.676263822,7.764315218,87.83783784,0.025999546
Bayesian Ridge,6,DI,0.327952377,0.159306992,0.479645213,0.060528207,0.408850832,0.111791944,0.639414445,7.031814209,90.87837838,0.023999214
Lasso Regression,6,DI,0.233571066,0.264035565,0.556333316,0.198383117,0.550288812,0.436646036,0.74181454,7.999717557,85.81081081,0.014000177
Elastic Net,6,DI,0.301998542,0.137507955,0.521183108,0.142983875,0.464586485,0.256930997,0.681605813,7.563906148,87.5,0.013001204
Orthogonal Matching Pursuit,6,DI,0.049635847,0.194863515,0.617333632,0.163243104,0.647671158,0.402505877,0.804780192,8.844678785,80.06756757,0.014002085
k-Nearest Neighbors Regressor,6,DI,0.193347632,0.224915823,0.495435028,0.179311483,0.529825989,0.29501729,0.727891468,7.102102102,86.48648649,0.013003349
Decision Tree Regressor,6,DI,-0.133811528,0.421634356,0.518248588,0.30309624,0.779830508,0.591663915,0.883080126,7.700557701,86.82432432,0.023999929
Random Forest Regressor,6,DI,0.379869575,0.135012204,0.45545339,0.112982064,0.384815945,0.136224244,0.620335349,6.660620442,89.86486486,0.379416227
Extra Trees Regressor,6,DI,0.350188255,0.162493929,0.455054802,0.103323563,0.392774175,0.1069018,0.626716982,6.732122748,89.18918919,0.156501055
Gradient Boosting Regressor,6,DI,0.368034515,0.16926718,0.422235819,0.077271064,0.376114812,0.078000469,0.613282,6.216138034,87.5,1.071132898
AdaBoost Regressor,6,DI,0.223933341,0.217040133,0.547260543,0.127274587,0.476150883,0.165481435,0.690036871,8.151088467,86.14864865,0.127102613
XGBoost Regressor,6,DI,0.324860227,0.145987606,0.466092722,0.109052057,0.414759961,0.129964143,0.644018603,6.811251796,87.5,0.397203684
LightGBM Regressor,6,DI,0.20842542,0.183924824,0.52821327,0.147156403,0.501383688,0.223741622,0.70808452,7.756496308,83.78378378,0.155273914
Linear Regression,5,Tp_h,0.338798194,0.17718456,0.470621486,0.063725765,0.402391426,0.119268415,0.634343303,6.889494235,90.54054054,0.027659416
Ridge Regression,5,Tp_h,0.302075847,0.123566045,0.530150945,0.11479419,0.457063316,0.226641247,0.67606458,7.738286461,87.83783784,0.027002335
Bayesian Ridge,5,Tp_h,0.346675556,0.174086956,0.469488121,0.059306891,0.396034697,0.109857572,0.629312877,6.866338982,90.87837838,0.026002645
Lasso Regression,5,Tp_h,0.233572371,0.26403647,0.556332461,0.19838369,0.550288254,0.436646362,0.741814164,7.999703332,85.81081081,0.025505543
Elastic Net,5,Tp_h,0.305314274,0.139421251,0.51943411,0.144092307,0.463290921,0.258084385,0.680654774,7.532174375,87.5,0.027002096
Orthogonal Matching Pursuit,5,Tp_h,0.049635847,0.194863515,0.617333632,0.163243104,0.647671158,0.402505877,0.804780192,8.844678785,80.06756757,0.014995337
k-Nearest Neighbors Regressor,5,Tp_h,0.17406033,0.194538706,0.519570621,0.214909698,0.556876836,0.330512449,0.746241808,7.591162591,83.78378378,0.025989294
Decision Tree Regressor,5,Tp_h,0.045693708,0.193045695,0.444915254,0.155295309,0.612937853,0.288676815,0.782903476,6.459808022,91.55405405,0.027329206
Random Forest Regressor,5,Tp_h,0.391389076,0.138038825,0.440653955,0.10622844,0.374096049,0.119288893,0.611633918,6.467623874,90.54054054,0.481993437
Extra Trees Regressor,5,Tp_h,0.349073929,0.166846098,0.438877966,0.090789505,0.391070542,0.097415403,0.625356332,6.496199324,89.18918919,0.180035353
Gradient Boosting Regressor,5,Tp_h,0.409850768,0.14805515,0.40222997,0.082150555,0.356648445,0.087255905,0.597200507,5.930580676,87.83783784,1.348353148
AdaBoost Regressor,5,Tp_h,0.250702097,0.215355862,0.541822236,0.119371878,0.452650039,0.139223701,0.672792717,8.153858141,88.51351351,0.111486197
XGBoost Regressor,5,Tp_h,0.393021047,0.12335824,0.445485634,0.115252943,0.37578714,0.123723658,0.613014796,6.55132705,88.51351351,0.201727629
LightGBM Regressor,5,Tp_h,0.279129387,0.133089679,0.500254546,0.151179459,0.467927488,0.230448788,0.684052255,7.320343223,85.47297297,0.09437418
Linear Regression,4,AI,0.346234058,0.175548005,0.470642319,0.06245463,0.398206023,0.118629888,0.631035675,6.878536225,90.87837838,0.013002157
Ridge Regression,4,AI,0.28137591,0.138125434,0.544472854,0.138274996,0.48181828,0.276107098,0.694131313,7.921035251,86.14864865,0.025998831
Bayesian Ridge,4,AI,0.350279149,0.173006025,0.470012801,0.059229704,0.394653831,0.112136537,0.628214797,6.869886235,90.54054054,0.025998116
Lasso Regression,4,AI,0.240443395,0.265483596,0.552676673,0.200396093,0.546750208,0.438206852,0.739425593,7.943504184,85.81081081,0.013395548
Elastic Net,4,AI,0.303597353,0.145620888,0.518485302,0.14967421,0.466089208,0.266835874,0.682707264,7.511878219,86.82432432,0.01437664
Orthogonal Matching Pursuit,4,AI,0.050309719,0.171008962,0.602538426,0.170817868,0.650847843,0.40177344,0.806751413,8.55325931,80.40540541,0.013000011
k-Nearest Neighbors Regressor,4,AI,0.206582628,0.162279424,0.512926554,0.197295689,0.529288136,0.292501763,0.727521914,7.498793436,83.44594595,0.013999462
Decision Tree Regressor,4,AI,0.079271599,0.232613541,0.414293785,0.186070133,0.609096045,0.357741987,0.780446055,5.965116903,91.55405405,0.024001598
Random Forest Regressor,4,AI,0.415027219,0.110888729,0.433967514,0.11769214,0.368057041,0.137587518,0.606677048,6.347125027,90.2027027,0.376003265
Extra Trees Regressor,4,AI,0.373337154,0.131954822,0.438387006,0.105703586,0.385105621,0.117031191,0.620568789,6.477061883,88.51351351,0.145968914
Gradient Boosting Regressor,4,AI,0.340265259,0.181121106,0.411529481,0.081716471,0.392443007,0.077045572,0.626452717,6.021462551,87.83783784,0.803886175
AdaBoost Regressor,4,AI,0.312531807,0.215220536,0.497913976,0.100596351,0.409361926,0.111116947,0.639813978,7.424156376,88.51351351,0.123003006
XGBoost Regressor,4,AI,0.381587863,0.143530647,0.448162485,0.102628267,0.37767205,0.114070718,0.614550283,6.573598051,87.5,0.168800592
LightGBM Regressor,4,AI,0.278193554,0.162297963,0.502404084,0.173434562,0.479260873,0.270022236,0.692286698,7.321646462,83.78378378,0.104579926
Linear Regression,3,Cav,0.064803284,0.254306329,0.596502913,0.183520104,0.617625554,0.367584644,0.785891566,8.648639206,80.74324324,0.023998737
Ridge Regression,3,Cav,0.129171455,0.246486544,0.621289651,0.181261511,0.608424505,0.435908949,0.780015708,9.071348277,84.12162162,0.024000406
Bayesian Ridge,3,Cav,0.073792741,0.250379206,0.597790144,0.182984401,0.615283222,0.374666676,0.784399912,8.671078661,81.41891892,0.015289783
Lasso Regression,3,Cav,0.106546544,0.267483235,0.621991049,0.17425854,0.613995405,0.434546613,0.783578589,9.074090932,83.78378378,0.01300168
Elastic Net,3,Cav,0.105159007,0.260698668,0.611637469,0.176987076,0.612791415,0.425106479,0.782809948,8.90005639,83.44594595,0.013240576
Orthogonal Matching Pursuit,3,Cav,0.053019102,0.348955382,0.619806331,0.171525944,0.626342292,0.418710809,0.7914179,9.037054709,83.10810811,0.013026237
k-Nearest Neighbors Regressor,3,Cav,-0.031030933,0.412361016,0.595378531,0.315281963,0.751862147,0.595177517,0.867099848,8.715009653,78.37837838,0.013030529
Decision Tree Regressor,3,Cav,-0.017507171,0.358595141,0.498022599,0.301241221,0.739265537,0.594853549,0.859805523,7.284293222,88.51351351,0.013993502
Random Forest Regressor,3,Cav,0.319518326,0.165745365,0.504787571,0.197251827,0.475614709,0.32663848,0.68964825,7.335860414,85.13513514,0.390500307
Extra Trees Regressor,3,Cav,0.286434562,0.1062841,0.479487571,0.158150297,0.470532401,0.235297807,0.685953644,7.062432969,87.16216216,0.132873535
Gradient Boosting Regressor,3,Cav,0.207658281,0.186053925,0.501788349,0.221204621,0.54630262,0.356162328,0.739122872,7.417880205,81.08108108,0.716290236
AdaBoost Regressor,3,Cav,0.201051346,0.218026713,0.581227674,0.205458848,0.536170141,0.341781445,0.732236397,8.61708439,85.81081081,0.100967407
XGBoost Regressor,3,Cav,0.293702209,0.151435402,0.492320367,0.177659705,0.478874381,0.297811547,0.692007501,7.147781186,84.45945946,0.171973705
LightGBM Regressor,3,Cav,0.278685385,0.154863776,0.50258231,0.161244118,0.473439481,0.242039228,0.688069387,7.339816032,82.43243243,0.104999065
Linear Regression,2,Dur_UD595,0.057330824,0.307568685,0.623196047,0.172139427,0.626306284,0.404509581,0.791395151,9.116064222,83.78378378,0.024001598
Ridge Regression,2,Dur_UD595,0.11380325,0.251679658,0.63463602,0.174325233,0.613210265,0.431789168,0.783077432,9.31915811,84.7972973,0.026999235
Bayesian Ridge,2,Dur_UD595,0.063488896,0.30080836,0.623671137,0.171678034,0.624170166,0.405969376,0.790044408,9.126804704,83.44594595,0.025001287
Lasso Regression,2,Dur_UD595,0.084154303,0.269590454,0.636374858,0.167175923,0.624428283,0.42985341,0.790207747,9.326223717,84.45945946,0.013005257
Elastic Net,2,Dur_UD595,0.084153121,0.27829707,0.631706014,0.168678709,0.62081578,0.422592141,0.787918638,9.259333453,84.12162162,0.013002157
Orthogonal Matching Pursuit,2,Dur_UD595,0.053019102,0.348955382,0.619806331,0.171525944,0.626342292,0.418710809,0.7914179,9.037054709,83.10810811,0.013011932
k-Nearest Neighbors Regressor,2,Dur_UD595,-0.275857616,0.484928391,0.674587571,0.180096478,0.807446328,0.440574539,0.898580173,9.902938653,80.40540541,0.013009071
Decision Tree Regressor,2,Dur_UD595,-1.062118015,1.005362922,0.72519774,0.223588839,1.223728814,0.507048849,1.106222769,10.39990884,80.40540541,0.013026953
Random Forest Regressor,2,Dur_UD595,-0.126873422,0.383698614,0.620399718,0.186610645,0.720374521,0.391584706,0.848748797,9.058494879,78.71621622,0.369307518
Extra Trees Regressor,2,Dur_UD595,-0.265394264,0.51778188,0.623136158,0.196280279,0.787186371,0.405588882,0.88723524,9.080055502,79.39189189,0.143467426
Gradient Boosting Regressor,2,Dur_UD595,-0.369103371,0.510154754,0.64133954,0.190238932,0.85412719,0.412849484,0.924190019,9.315635443,76.68918919,0.651699066
AdaBoost Regressor,2,Dur_UD595,-0.203359457,0.566507606,0.70132992,0.149949418,0.715359937,0.301265346,0.845789534,10.5435984,81.41891892,0.10097003
XGBoost Regressor,2,Dur_UD595,-0.391413641,0.38415888,0.684271124,0.168359843,0.864030606,0.3535794,0.929532466,10.00841967,72.2972973,0.112624407
LightGBM Regressor,2,Dur_UD595,-0.1281193,0.347008422,0.643301282,0.158642784,0.707591954,0.332258455,0.841184851,9.44409407,78.71621622,0.093998671
Linear Regression,1,A_ms,-0.183414521,0.177260339,0.753504207,0.167601264,0.796122649,0.435471895,0.892257053,11.05181422,80.40540541,0.012999773
Ridge Regression,1,A_ms,-0.170592114,0.166385163,0.750171059,0.164985393,0.788114962,0.43679504,0.887758392,10.99126052,82.09459459,0.014000654
Bayesian Ridge,1,A_ms,-0.194818842,0.160283988,0.757378056,0.163853063,0.802748547,0.432455322,0.895962358,11.1104622,80.40540541,0.026998997
Lasso Regression,1,A_ms,-0.187727341,0.162339609,0.755219238,0.159700248,0.797946765,0.439416799,0.89327866,11.06045662,82.43243243,0.014009953
Elastic Net,1,A_ms,-0.184867449,0.158467025,0.754677518,0.162453178,0.796734196,0.435494446,0.892599684,11.06037395,82.09459459,0.012996674
Orthogonal Matching Pursuit,1,A_ms,-0.183414521,0.177260339,0.753504207,0.167601264,0.796122649,0.435471895,0.892257053,11.05181422,80.40540541,0.01300478
k-Nearest Neighbors Regressor,1,A_ms,-0.432736709,0.208158102,0.763785311,0.170320047,0.925317514,0.419113437,0.961934257,11.2367278,72.97297297,0.024060965
Decision Tree Regressor,1,A_ms,-1.460586737,0.853216208,0.795988701,0.206417237,1.483446328,0.501556185,1.217968114,11.59105534,75,0.013026237
Random Forest Regressor,1,A_ms,-0.756456631,0.399242322,0.771261299,0.178921983,1.100312182,0.422222421,1.048957665,11.29317487,70.94594595,0.375847816
Extra Trees Regressor,1,A_ms,-1.045926954,0.493767627,0.780870882,0.17196623,1.255795591,0.407002743,1.120622859,11.40353519,70.27027027,0.144995213
Gradient Boosting Regressor,1,A_ms,-1.045350305,0.562142037,0.793790167,0.194615373,1.265147033,0.473384784,1.12478755,11.59028395,69.93243243,0.487508535
AdaBoost Regressor,1,A_ms,-0.397356696,0.278645289,0.812507061,0.147423011,0.871588534,0.316051171,0.933589061,12.25921863,72.2972973,0.046030998
XGBoost Regressor,1,A_ms,-0.953707886,0.441600951,0.792841719,0.138627143,1.189483103,0.336501553,1.090634267,11.59094959,70.27027027,0.10297966
LightGBM Regressor,1,A_ms,-0.300844051,0.13908414,0.753941729,0.153579028,0.850088508,0.397328389,0.922002445,11.06712062,74.66216216,0.103996992
